source_id;country;site;species;variable;value;pubmed_id;reference
2408;Vietnam;Village 3;Anopheles philippinensis;AI;0.1;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles jeyporiensis;AI;0.12;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles karwari;AI;0.12;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Lang Nhot;Anopheles maculatus;AI;0.12;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles vagus;AI;0.13;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles annularis;AI;0.15;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles pampanai;AI;0.16;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles philippinensis;AI;0.16;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles philippinensis;AI;0.16;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles kochi;AI;0.17;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles splendidus;AI;0.2;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles maculatus;AI;0.24;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles maculatus;AI;0.25;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles sinensis;AI;0.25;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles maculatus;AI;0.31;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles barbirostris;AI;0.38;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles vagus;AI;0.42;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles kochi;AI;0.46;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles minimus;AI;0.47;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles nivipes;AI;0.47;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Van Duc A;Anopheles subpictus;AI;0.55;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles tessellatus;AI;0.56;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles jamesii;AI;0.6;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles aconitus;AI;0.61;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles sinensis;AI;0.69;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles kochi;AI;0.95;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles barbumbrosus;AI;1.1;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles tessellatus;AI;1.3;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles peditaeniatus;AI;1.51;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles hyrcanus;AI;1.53;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles barbirostris;AI;1.64;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles philippinensis;AI;2.32;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles umbrosus;AI;2.5;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles barbirostris;AI;2.64;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles sinensis;AI;2.83;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles aconitus;AI;3.93;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Van Duc A;Anopheles tessellatus;AI;3.96;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Van Duc A;Anopheles sinensis;AI;4.78;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles umbrosus;AI;6.67;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Lang Nhot;Anopheles minimus;AI;8.1;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles minimus;AI;10.11;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Van Duc A;Anopheles sundaicus;AI;11.53;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Van Duc A;Anopheles nimpe;AI;23.07;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
6609;Vietnam;;Anopheles aconitus;AI;0.135;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles annularis;AI;0.089;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles barbirostris;AI;0.056;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles crawfordi;AI;0;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles dirus;AI;8.538;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles jamesii;AI;1;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles jeyporiensis;AI;0.012;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles maculatus;AI;0.325;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles minimus;AI;0.357;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles nivipes;AI;0.03;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles peditaeniatus;AI;0.057;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles philippinensis;AI;0.096;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles sinensis;AI;0.396;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles tessellatus;AI;1;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles umbrosus;AI;0;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles vagus;AI;0.014;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles harrisoni;AI;0.076;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
6609;Vietnam;;Anopheles sawadwongporni;AI;0.555;20846447;Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010
1927;India;orissa;Anopheles fluviatilis;Chi;0.876;11081646;Nanda N, Yadav RS, Subbarao SK, Joshi H, Sharma VP. Studies on Anopheles fluviatilis and Anopheles culicifacies sibling species in relation to malaria in forested hilly and deforested riverine ecosystems in northern Orissa, India. J Am Mosq Control Assoc. 2000
1927;India;orissa;Anopheles culicifacies;Chi;0.011;11081646;Nanda N, Yadav RS, Subbarao SK, Joshi H, Sharma VP. Studies on Anopheles fluviatilis and Anopheles culicifacies sibling species in relation to malaria in forested hilly and deforested riverine ecosystems in northern Orissa, India. J Am Mosq Control Assoc. 2000
2048;PNG;Wosera;Anopheles koliensis;Chi;0.79;9103763;Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997
2048;PNG;Wosera;Anopheles farauti;Chi;0.88;9103763;Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997
2048;PNG;Wosera;Anopheles punctulatus;Chi;0.9;9103763;Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997
2125;PNG;Madang;Anopheles farauti;Chi;0.71;2979548;Charlwood, J.D. and Graves, P.M. (1987).  The effect of permethrin-impregnated bednets on a population of Anopheles farauti in coastal Papua New Guinea. Medical and Veterinary Entomology, 1(3):319-27
2125;PNG;Madang;Anopheles koliensis;Chi;0.83;2979548;Charlwood, J.D. and Graves, P.M. (1987).  The effect of permethrin-impregnated bednets on a population of Anopheles farauti in coastal Papua New Guinea. Medical and Veterinary Entomology, 1(3):319-27
6683;Bangladesh;;Anopheles annularis;Chi;0.375;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles barbirostris;Chi;0.046;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles jamesii;Chi;0.333;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles karwari;Chi;0.034;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles kochi;Chi;0;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles maculatus;Chi;0.267;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles minimus;Chi;0.436;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles pallidus;Chi;0.333;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles peditaeniatus;Chi;0.064;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles philippinensis;Chi;0.184;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles subpictus;Chi;0.121;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles umbrosus;Chi;0.046;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
6683;Bangladesh;;Anopheles vagus;Chi;0.103;22336191;Bashar, K., Tuno, N., Ahmed, T.U. and Howlader, A.J. (2012).  Blood-feeding patterns of Anopheles mosquitoes in a malaria-endemic area of Bangladesh. Parasites & Vectors, 5(1):39
